Index,Speaker,Section,Scene,Category,Character,text,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise
176,SAM,Part One,1,Dialogue,NOTT,"All right, well, that's on the to-do list. ",4,neutral,0.84119934,0.05592857,0.06351522,0.009346691,0.016402168,0.84119934,0.012217859,0.0013901046
177,LIAM,Part One,1,Dialogue,CALEB,"All right, well, let's get something to eat, then. ",4,neutral,0.6948097,0.08110047,0.14976998,0.020441301,0.029435758,0.6948097,0.02316183,0.0012809127
183,MATT,Part One,2,Dialogue,YORDA,"Adelaine, two more brats and a bit of mush at the corner table.",4,neutral,0.8142954,0.007229001,0.11215991,0.003287425,0.017220184,0.8142954,0.024027076,0.021780979
185,MATT,Part One,2,Dialogue,ADELAINE,I'm working on it!,0,anger,0.35725462,0.35725462,0.033937268,0.010665317,0.21184751,0.04908786,0.015283153,0.3219244
194,MATT,Part One,2,Dialogue,ADELAINE,I'm terribly sorry. What can I get you?,5,sadness,0.8714782,0.007954601,0.012706468,0.031554572,0.0019565136,0.027794268,0.8714782,0.046555325
195,SAM,Part One,2,Dialogue,NOTT,"You know, meat if you have it, but if you don't, that's okay, too. Potatoes, or bacon if it's on the menu, but really anything-- ",4,neutral,0.43944788,0.072040156,0.43065897,0.040493593,0.0066533773,0.43944788,0.008994219,0.0017117562
196,MATT,Part One,2,Dialogue,ADELAINE,"I can get you all three, it's fine. What you want?",4,neutral,0.7060954,0.19511288,0.059783276,0.01141779,0.009614388,0.7060954,0.012724955,0.0052513788
197,LIAM,Part One,2,Dialogue,CALEB,"A Trost for each of us, please. ",4,neutral,0.73749495,0.016652003,0.08243516,0.1346814,0.010824618,0.73749495,0.0131066,0.0048053022
198,MATT,Part One,2,Dialogue,ADELAINE,"For breakfast? I like you. All right, two Trosts and a bunch of meats. Be right back.",4,neutral,0.52781516,0.028005961,0.032469697,0.002552434,0.3877318,0.52781516,0.008850135,0.012574791
200,LIAM,Part One,2,Dialogue,CALEB,"Yes, I need books, that's true, but did you find drink yesterday? ",4,neutral,0.7137004,0.03737827,0.09637306,0.072111785,0.001982712,0.7137004,0.01220655,0.06624728
201,SAM,Part One,2,Dialogue,NOTT,I have a little left in my flask. ,4,neutral,0.6911818,0.054097816,0.15336365,0.058228567,0.010653314,0.6911818,0.024101961,0.008372958
202,LIAM,Part One,2,Dialogue,CALEB,How much? ,6,surprise,0.440314,0.06912417,0.035218906,0.064091995,0.003286528,0.37711656,0.010847823,0.440314
202,LIAM,Part One,2,Dialogue,CALEB,How much? ,6,surprise,0.440314,0.06912417,0.035218906,0.064091995,0.003286528,0.37711656,0.010847823,0.440314
203,SAM,Part One,2,Dialogue,NOTT,Just a couple swigs. ,4,neutral,0.8794716,0.01102747,0.08350657,0.009715921,0.003663187,0.8794716,0.0074051307,0.00521016
204,LIAM,Part One,2,Dialogue,CALEB,"So that's also on the to-do list, then. ",4,neutral,0.955788,0.009629293,0.011347261,0.0064942413,0.0026825478,0.955788,0.004610016,0.009448494
205,SAM,Part One,2,Dialogue,NOTT,"I mean, if you don't want me to get too jittery, yeah. ",0,anger,0.8761544,0.8761544,0.020712866,0.049373537,0.0027686632,0.026018059,0.02324132,0.0017311278
206,LIAM,Part One,2,Dialogue,CALEB,All right. Okay. So we'll do that first. ,4,neutral,0.6307983,0.15847692,0.13865764,0.034077264,0.015206684,0.6307983,0.021520264,0.0012628888
207,SAM,Part One,2,Dialogue,NOTT,All right. ,4,neutral,0.56556594,0.2355384,0.12634033,0.027116578,0.024512667,0.56556594,0.018955993,0.0019701861
207,SAM,Part One,2,Dialogue,NOTT,All right. ,4,neutral,0.56556594,0.2355384,0.12634033,0.027116578,0.024512667,0.56556594,0.018955993,0.0019701861
207,SAM,Part One,2,Dialogue,NOTT,All right. ,4,neutral,0.56556594,0.23553833,0.12634036,0.02711658,0.02451267,0.56556594,0.018955993,0.0019701868
211,MATT,Part One,2,Dialogue,ADELAINE,Put something in your belly.,1,disgust,0.93925655,0.015777117,0.93925655,0.012953926,0.0007549728,0.020749347,0.0075834556,0.002924629
223,MATT,Part One,3,Dialogue,RINALDO,"Might I sit, please?",2,fear,0.3141639,0.10116132,0.2545281,0.3141639,0.013114358,0.18754728,0.07478082,0.0547042
224,LAURA,Part One,3,Dialogue,JESTER,"Of course, take a seat. ",4,neutral,0.65085053,0.06831127,0.1155791,0.11455692,0.014029873,0.65085053,0.034976885,0.0016954395
242,LAURA,Part One,3,Dialogue,JESTER,You're very handsome. I just need to tell you. ,4,neutral,0.80343056,0.0130911125,0.09983564,0.0089911055,0.038877398,0.80343056,0.005338451,0.030435724
243,TRAVIS,Part One,3,Dialogue,FJORD,Thank you. Appreciate that. ,3,joy,0.5483676,0.036913507,0.01948512,0.0055792704,0.5483676,0.3706761,0.004825129,0.014153296
245,MATT,Part One,3,Dialogue,RINALDO,"I thank you for your time. Fjord. And, I apologize, I forget your names.",4,neutral,0.6693507,0.013601688,0.020368455,0.005625978,0.14642856,0.6693507,0.08550996,0.059114613
246,MARISHA,Part One,3,Dialogue,BEAU,Beauregard. ,4,neutral,0.3918431,0.12785074,0.17340991,0.23394163,0.024812277,0.3918431,0.037738513,0.010403747
247,MATT,Part One,3,Dialogue,RINALDO,Beauregard. And?,6,surprise,0.83542895,0.015672533,0.0070082047,0.0033801834,0.006063165,0.12914732,0.0032996116,0.83542895
248,LAURA,Part One,3,Dialogue,JESTER,Jester. ,4,neutral,0.6022102,0.03049641,0.085785374,0.22338322,0.0056143464,0.6022102,0.04200939,0.010500981
248,LAURA,Part One,3,Dialogue,JESTER,Jester. ,4,neutral,0.6022102,0.03049641,0.085785374,0.22338322,0.0056143464,0.6022102,0.04200939,0.010500981
249,MATT,Part One,3,Dialogue,RINALDO,"Jester, thank you. You all came when no one else would yesterday, and because of you my daughter is still alive.",3,joy,0.5012204,0.023134809,0.009384857,0.0028594653,0.5012204,0.38651103,0.016700111,0.060189437
250,MARISHA,Part One,3,Dialogue,BEAU,"Oh yeah. Sorry for being a pessimistic asshole, by the way, when we first came into town. ",5,sadness,0.6894857,0.046917718,0.08127139,0.01919088,0.01203246,0.14237668,0.6894857,0.008725179
251,MATT,Part One,3,Dialogue,RINALDO,"Oh, that's okay.",4,neutral,0.5744978,0.11127795,0.19865759,0.020100579,0.05999873,0.5744978,0.03264248,0.0028249056
252,MARISHA,Part One,3,Dialogue,BEAU,I'm not used to things turning out good. ,4,neutral,0.6546144,0.049730368,0.18148017,0.055647306,0.017523734,0.6546144,0.031743184,0.009260886
253,MATT,Part One,3,Dialogue,RINALDO,You'll do well this side of the Empire. ,4,neutral,0.9188075,0.019191468,0.026105799,0.01087847,0.015963778,0.9188075,0.0077522746,0.0013007141
254,MATT,Part One,3,Dialogue,RINALDO,"Anyway. I won't keep you, but I-- we spoke yesterday, and I didn't have much to give you. ",4,neutral,0.56307095,0.03330842,0.081968494,0.053723883,0.013367217,0.56307095,0.22848213,0.026078878
255,MATT,Part One,3,Dialogue,RINALDO,"Sent you away with nothing but my gratitude. But I've been asking around the other fishermen, lochsmen, and we've put together a little bit of coin for your troubles, so.",4,neutral,0.7344891,0.033400476,0.031114256,0.0032343739,0.05115544,0.7344891,0.135964,0.010642391
257,LAURA,Part One,3,Dialogue,JESTER,So cool! ,3,joy,0.88203156,0.024580598,0.010499109,0.025746675,0.88203156,0.042224552,0.004710631,0.010206828
260,MATT,Part One,3,Dialogue,RINALDO,I hope it's helpful. But thank you.,4,neutral,0.48925972,0.02592655,0.017885834,0.003929408,0.37764722,0.48925972,0.04698415,0.038367126
261,MARISHA,Part One,3,Dialogue,BEAU,"Yeah, yeah. Oh wait. ",4,neutral,0.6065562,0.035771802,0.19810702,0.107545055,0.013032494,0.6065562,0.022990808,0.015996628
262,TRAVIS,Part One,3,Dialogue,FJORD,"We can't accept this, right? I mean, it's too much. ",1,disgust,0.5217117,0.27699503,0.5217117,0.096634425,0.002349145,0.061963663,0.03695182,0.0033941087
263,MARISHA,Part One,3,Dialogue,BEAU,"We're supposed to at least say that, right? And then still accept it, right? ",4,neutral,0.62212026,0.1344126,0.1896101,0.035866763,0.00454396,0.62212026,0.010244871,0.003201467
264,TRAVIS,Part One,3,Dialogue,FJORD,I think you're supposed to do it if you say it. ,4,neutral,0.71584904,0.13046232,0.09475257,0.013231389,0.012374295,0.71584904,0.0058744247,0.027455928
265,LAURA,Part One,3,Dialogue,JESTER,"Well, I mean, he did go around to a bunch of people. That was a lot of work on his part. I would hate to make him go back to all of those people and give it back to each individual person. ",1,disgust,0.6114766,0.33851668,0.6114766,0.0041767578,0.0018549261,0.033297718,0.007563301,0.0031140212
266,TRAVIS,Part One,3,Dialogue,FJORD,"Fine, fine. ",0,anger,0.7377759,0.7377759,0.12143699,0.081643865,0.0021483046,0.03749032,0.018537585,0.00096700323
267,MARISHA,Part One,3,Dialogue,BEAU,"If he didn't keep a ledger, you know. We wouldn't want to do that. It's rude not to accept a gift, right? It's rude not to accept a gift, right? ",1,disgust,0.5081683,0.41157845,0.5081683,0.011651407,0.0011299019,0.05619767,0.006748389,0.004525939
268,MATT,Part One,3,Dialogue,RINALDO,I would hope that is the case. Anyway. Thank you very much. I am sorry for getting in your way.,5,sadness,0.88308626,0.006805927,0.022562837,0.0051126033,0.012591003,0.06059977,0.88308626,0.009241609
270,LAURA,Part One,3,Dialogue,JESTER,Divide it up. ,4,neutral,0.59453636,0.16646743,0.1243814,0.07533853,0.0041616242,0.59453636,0.03220139,0.0029132105
271,MARISHA,Part One,3,Dialogue,BEAU,"Okay, okay. ",4,neutral,0.2651895,0.2093084,0.22203828,0.23050332,0.013771366,0.2651895,0.057735853,0.0014532913
281,MARISHA,Part One,3,Dialogue,BEAU,How do you split up four gold? We have four gold and there's only three of us. ,4,neutral,0.8573143,0.017939843,0.017044762,0.008070322,0.0015308112,0.8573143,0.008761433,0.08933844
282,LAURA,Part One,3,Dialogue,JESTER,Don't know. ,4,neutral,0.53033316,0.09457779,0.115535535,0.15782578,0.0063395556,0.53033316,0.028172204,0.067215905
283,TRAVIS,Part One,3,Dialogue,FJORD,"Well, I actually did pretty good at that card game, so you can have mine. ",4,neutral,0.92193806,0.013980298,0.014769233,0.0030719852,0.036680885,0.92193806,0.0026628394,0.006896699
284,MARISHA,Part One,3,Dialogue,BEAU,Aw. I will. Okay. ,2,fear,0.34011886,0.07658425,0.14469634,0.34011886,0.011160519,0.25369155,0.17009278,0.00365566
285,LAURA,Part One,3,Dialogue,JESTER,So two for each of us! That's great. ,3,joy,0.89141834,0.009666981,0.004617994,0.00243458,0.89141834,0.06608232,0.0016435594,0.024136227
286,MARISHA,Part One,3,Dialogue,BEAU,"Oh, that's good. One for you, two for me, two for-- oh wait, no, wait, math doesn't make sense. ",4,neutral,0.53791785,0.07541513,0.18189158,0.08564032,0.08947401,0.53791785,0.0206633,0.008997754
290,MARISHA,Part One,3,Dialogue,BEAU,"I'll give two to Jester, one for you, one for me. And then 22 silver, that's-- ",4,neutral,0.93126863,0.018299554,0.015121312,0.012875354,0.008818573,0.93126863,0.0052733934,0.008343213
293,TRAVIS,Part One,4,Dialogue,FJORD,That's creepy. Fucking disgusting. I think we have people watching us. ,1,disgust,0.980847,0.004763645,0.980847,0.0072445255,0.0004290966,0.0035615265,0.0016710659,0.0014831779
294,LAURA,Part One,4,Dialogue,JESTER,Who is watching us? ,2,fear,0.42905906,0.08995199,0.029415788,0.42905906,0.0034032594,0.30887088,0.013448315,0.12585078
295,TRAVIS,Part One,4,Dialogue,FJORD,"Well, just take a look right over there. ",4,neutral,0.9145538,0.02291836,0.028742714,0.021969095,0.004112707,0.9145538,0.002858713,0.004844633
296,SAM,Part One,4,Dialogue,NOTT,"Don't arouse suspicion, but did you hear all that coin hit that table, Caleb? ",2,fear,0.49747342,0.21089229,0.100080356,0.49747342,0.0025496858,0.13346854,0.00897558,0.046560153
297,LIAM,Part One,4,Dialogue,CALEB,"I did. It's on the table, though, so I think on the table it will stay. ",4,neutral,0.92837805,0.010235686,0.036717094,0.007435827,0.0030504332,0.92837805,0.0070005627,0.007182308
298,SAM,Part One,4,Dialogue,NOTT,"Yes, but we could follow them out. We could do the Moneypot. We could run Rat Food. We could do Prince and the Pauper to get it from them. We could try Spider Eyes. Any of those could work-- ",4,neutral,0.91715866,0.018914048,0.024984352,0.02335581,0.005000462,0.91715866,0.0058440384,0.004742593
299,LAURA,Part One,4,Dialogue,JESTER,Are you guys staying here? ,6,surprise,0.50058264,0.06085826,0.034293618,0.07477152,0.009015766,0.3080594,0.012418768,0.50058264
301,SAM,Part One,4,Dialogue,NOTT,Don't move. Don't move. Tieflings can only see movement. ,2,fear,0.7956718,0.06987969,0.02336212,0.7956718,0.0029296833,0.087923095,0.017203866,0.0030296962
302,LIAM,Part One,4,Dialogue,CALEB,I don't think that's true-- ,6,surprise,0.36460364,0.11028095,0.23202635,0.09590101,0.003658785,0.18193194,0.011597273,0.36460364
303,LAURA,Part One,4,Dialogue,JESTER,"It's very true, we have a hard time seeing things that aren't moving, it's very true. But I can hear you. You should take a bath. You know they have showers here. It's possible. ",4,neutral,0.6790488,0.017630842,0.16499807,0.09133195,0.0057368693,0.6790488,0.02804077,0.013212708
304,LIAM,Part One,4,Dialogue,CALEB,A what now? ,6,surprise,0.36314967,0.21938251,0.0637173,0.2217001,0.004395353,0.1108285,0.016826676,0.36314967
305,LAURA,Part One,4,Dialogue,JESTER,You bathe yourself in water. ,1,disgust,0.8457342,0.06660758,0.8457342,0.049670786,0.0013927412,0.024499333,0.010894024,0.0012013507
306,LIAM,Part One,4,Dialogue,CALEB,"No, I've bathed before, yeah, I know what a bath is. ",1,disgust,0.6476134,0.020754954,0.6476134,0.09927416,0.0039673527,0.20094669,0.021632588,0.0058108224
307,LAURA,Part One,4,Dialogue,JESTER,"It's because you smell really bad, and it's wafting over this direction. I'm just letting you know. I would hate if I smelled that bad and someone didn't tell me. ",1,disgust,0.9254765,0.03851017,0.9254765,0.010979414,0.00072293537,0.011983779,0.010709753,0.0016174687
308,LIAM,Part One,4,Dialogue,CALEB,I've only just met you. ,4,neutral,0.77959305,0.017130254,0.0077206823,0.07505369,0.02140501,0.77959305,0.003240209,0.09585703
309,LAURA,Part One,4,Dialogue,JESTER,Hi! I'm Jester. ,3,joy,0.51075655,0.020945005,0.00481756,0.026196329,0.51075655,0.33899933,0.008244679,0.090040445
310,LIAM,Part One,4,Dialogue,CALEB,"Hi, I'm Caleb. ",4,neutral,0.89931387,0.011476714,0.010304136,0.026759509,0.019979423,0.89931387,0.008369236,0.023797147
311,LAURA,Part One,4,Dialogue,JESTER,"Nice to meet you, Caleb. How much silver did I just get? ",3,joy,0.76804197,0.0050708586,0.002079075,0.005305296,0.76804197,0.1365612,0.0036950097,0.07924648
312,MARISHA,Part One,4,Dialogue,BEAU,Seven! ,6,surprise,0.32150573,0.24052188,0.04213375,0.09096242,0.12627918,0.16384844,0.014748596,0.32150573
313,LAURA,Part One,4,Dialogue,JESTER,Woo! (laughter) ,3,joy,0.75329024,0.04462779,0.051786967,0.0095831,0.75329024,0.06261734,0.0144973835,0.06359715
314,MARISHA,Part One,4,Dialogue,BEAU,And 16 copper. Aren't you all jealous? ,4,neutral,0.5355881,0.20990002,0.07531388,0.055305567,0.0036679062,0.5355881,0.01743276,0.10279182
315,SAM,Part One,4,Dialogue,NOTT,Morning. ,2,fear,0.59495926,0.028052593,0.03403202,0.59495926,0.0081496965,0.27207798,0.054946586,0.007781934
315,SAM,Part One,4,Dialogue,NOTT,Morning. ,2,fear,0.59495926,0.028052593,0.03403202,0.59495926,0.0081496965,0.27207798,0.054946586,0.007781934
316,MARISHA,Part One,4,Dialogue,BEAU,Morning. ,2,fear,0.59495926,0.028052593,0.03403202,0.59495926,0.0081496965,0.27207798,0.054946586,0.007781934
316,MARISHA,Part One,4,Dialogue,BEAU,Morning. ,2,fear,0.59495926,0.028052593,0.03403202,0.59495926,0.0081496965,0.27207798,0.054946586,0.007781934
326,MARISHA,Part One,4,Dialogue,BEAU,Good morning,4,neutral,0.7911223,0.003234752,0.0030440162,0.0043581743,0.1740984,0.7911223,0.0095496755,0.014592667
329,SAM,Part One,4,Dialogue,NOTT,Top of the morning to you. ,4,neutral,0.7792721,0.026093515,0.018617148,0.1208692,0.025283242,0.7792721,0.012284522,0.017580291
330,SAM,Part One,4,Dialogue,NOTT,(laughter) ,4,neutral,0.5781452,0.08658675,0.1910965,0.034801528,0.0815255,0.5781452,0.02451748,0.0033269164
330,SAM,Part One,4,Dialogue,NOTT,(laughter) ,4,neutral,0.5781452,0.08658675,0.1910965,0.034801528,0.0815255,0.5781452,0.02451748,0.0033269164
330,SAM,Part One,4,Dialogue,NOTT,(laughter) ,4,neutral,0.5781452,0.08658675,0.1910965,0.034801528,0.0815255,0.5781452,0.02451748,0.0033269164
330,SAM,Part One,4,Dialogue,NOTT,(laughter) ,4,neutral,0.5781452,0.08658675,0.1910965,0.034801528,0.0815255,0.5781452,0.02451748,0.0033269164
330,SAM,Part One,4,Dialogue,NOTT,(laughter) ,4,neutral,0.5781452,0.08658675,0.1910965,0.034801528,0.0815255,0.5781452,0.02451748,0.0033269164
330,SAM,Part One,4,Dialogue,NOTT,(laughter) ,4,neutral,0.57814527,0.08658676,0.19109651,0.034801535,0.0815255,0.57814527,0.024517478,0.0033269166
330,SAM,Part One,4,Dialogue,NOTT,(laughter) ,4,neutral,0.5781452,0.08658675,0.1910965,0.034801528,0.0815255,0.5781452,0.02451748,0.0033269164
330,SAM,Part One,4,Dialogue,NOTT,(laughter) ,4,neutral,0.5781452,0.08658675,0.1910965,0.034801528,0.0815255,0.5781452,0.02451748,0.0033269164
331,MARISHA,Part One,4,Dialogue,BEAU,Would you like a coffee? I'd love to buy you a coffee. ,4,neutral,0.44968387,0.03507843,0.021261008,0.23288073,0.19380717,0.44968387,0.050933883,0.016354954
332,SAM,Part One,4,Dialogue,NOTT,"We've got-- free coffee? Yeah, yeah, I'll take it. Sure. Thank you. ",3,joy,0.4586679,0.040828504,0.035201438,0.008835846,0.4586679,0.43291962,0.007616963,0.015929725
333,TRAVIS,Part One,4,Dialogue,FJORD,You're being mighty fucking friendly. They were looking at our coin. ,4,neutral,0.42429665,0.2201498,0.2766511,0.0096591655,0.041925907,0.42429665,0.005025831,0.022291578
334,MARISHA,Part One,4,Dialogue,BEAU,Why can't they have been looking at me? Maybe they were looking at me. ,0,anger,0.4426108,0.4426108,0.10594573,0.26608595,0.0025064005,0.09126859,0.01455792,0.07702455
335,TRAVIS,Part One,4,Dialogue,FJORD,I didn't think of that. ,6,surprise,0.5565645,0.059578527,0.11519013,0.044675115,0.003909656,0.2102347,0.009847373,0.5565645
336,MARISHA,Part One,4,Dialogue,BEAU,"Maybe they were looking at you. As Jester said, you're handsome. ",4,neutral,0.8773829,0.008604615,0.06891184,0.0094701825,0.013756024,0.8773829,0.004765712,0.017108733
337,LIAM,Part One,4,Dialogue,CALEB,Just-- ,4,neutral,0.39988396,0.15403402,0.13016972,0.25205457,0.0114224525,0.39988396,0.042344633,0.0100906445
338,LAURA,Part One,4,Dialogue,JESTER,Yes? ,6,surprise,0.5774767,0.062755786,0.030560967,0.08709109,0.0052486123,0.2328162,0.0040506786,0.5774767
339,LIAM,Part One,4,Dialogue,CALEB,Nott. ,4,neutral,0.55491227,0.061037086,0.14941339,0.16778815,0.0055339374,0.55491227,0.05330486,0.008010296
340,SAM,Part One,4,Dialogue,NOTT,"He said ""Jest"". ",4,neutral,0.6041942,0.03285213,0.20521185,0.13392894,0.004336356,0.6041942,0.014782794,0.004693756
341,LAURA,Part One,4,Dialogue,JESTER,"I just thought you said my name, is all. ",4,neutral,0.88854957,0.022334639,0.021362038,0.010538306,0.009487011,0.88854957,0.0035922925,0.04413613
342,MARISHA,Part One,4,Dialogue,BEAU,"Oh, I said your name. Oh, they might have said your name, too. ",4,neutral,0.86237866,0.014156546,0.037703462,0.023680424,0.008417629,0.86237866,0.0137603665,0.03990286
343,LIAM,Part One,4,Dialogue,CALEB,"Never mind, never mind. Could I get another Trost over here, please? ",1,disgust,0.30118346,0.27372992,0.30118346,0.18304819,0.002971046,0.20412047,0.024223188,0.010723635
344,SAM,Part One,4,Dialogue,NOTT,"Two, please, right away. ",4,neutral,0.68944514,0.03699162,0.09422964,0.14833209,0.0056134057,0.68944514,0.0181825,0.007205615
346,MATT,Part One,4,Dialogue,ADELAINE,Would you like anything as well?,4,neutral,0.861723,0.010270596,0.0059449114,0.0031449285,0.046738565,0.861723,0.01048272,0.06169522
347,LAURA,Part One,4,Dialogue,JESTER,"Oh, yes. Lots of baked goods if you have them, please. ",4,neutral,0.8667061,0.011122024,0.076956265,0.012402173,0.013525034,0.8667061,0.014248697,0.005039779
